Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Fowler, Martin","Kent Beck, Don Roberts, Erich Gamma","=""0201485672""","=""9780201485677""",0,4.25,Addison-Wesley Professional,Hardcover,431,1999,1999,,2023/06/04,,,read,,,,1,0
7959038,SQL Antipatterns,Bill Karwin,"Karwin, Bill",,"=""1934356557""","=""9781934356555""",0,4.00,Pragmatic Bookshelf,Paperback,328,2010,2010,,2023/06/04,to-read,to-read (#60),to-read,,,,0,0
27997227,Regular Expression Cookbook,Ray Goudie,"Goudie, Ray",,"=""""","=""""",0,3.86,Ray Goudie,Kindle Edition,51,2015,,,2023/06/04,,,read,,,,1,0
31114454,O Enigma da Graça - Comentários ao Livro de Jó,Caio Fábio d’Araújo filho,"filho, Caio Fábio d’Araújo",,"=""""","=""9788563882042""",0,4.86,Pró Logos,,333,2011,,,2023/06/04,,,read,,,,1,0
2331612,Ronnie: The Autobiography of Ronnie Wood,Ron Wood,"Wood, Ron",Photos,"=""0230701310""","=""9780230701311""",0,3.70,St Martin's Press,Hardcover,358,2007,2007,,2023/06/04,,,read,,,,1,0
1425,The Valkyries,Paulo Coelho,"Coelho, Paulo",,"=""0062513346""","=""9780062513342""",0,3.32,HarperOne,Paperback,212,1996,1988,,2023/06/04,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",0,4.18,Bantam,Mass Market Paperback,283,1993,1947,,2023/06/04,,,read,,,,1,0
2767320,Interventionism: An Economic Analysis,Ludwig von Mises,"Mises, Ludwig von","Bettina Bien Greaves, Francis McManus, Heinrich Bund","=""1572460717""","=""9781572460713""",0,4.39,Foundation for Economic Education,Paperback,98,1998,1941,,2023/06/04,,,read,,,,1,0
386485,Liberalism: The Classical Tradition,Ludwig von Mises,"Mises, Ludwig von",Bettina Bien Greaves,"=""""","=""""",0,4.18,Liberty Fund Inc.,Paperback,171,2005,1927,,2023/06/04,,,read,,,,1,0
3216357,Phone Power: Increase Your Effectiveness Every Time You're on the Telephone,Doc Morey,"Morey, Doc",,"=""156414366X""","=""9781564143662""",0,3.33,Career Pr Inc,Paperback,127,1998,,,2023/06/04,,,read,,,,1,0
4498265,"Customer Service on the Internet: Building Relationships, Increasing Loyalty, and Staying Competitive",Jim Sterne,"Sterne, Jim",,"=""0471155063""","=""9780471155065""",0,3.57,Wiley,Paperback,352,1996,1996,,2023/06/04,,,read,,,,1,0
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",0,3.95,Riverhead Books,Hardcover,242,2009,2009,,2023/06/04,to-read,to-read (#59),to-read,,,,0,0
99315,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,"Pink, Daniel H.",,"=""1594481717""","=""9781594481710""",0,3.92,Riverhead Books,Paperback,275,2006,2004,,2023/06/04,,,read,,,,1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2023/06/04,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.38,Vintage,Paperback,512,2015,2011,,2023/06/04,to-read,to-read (#58),to-read,,,,0,0
163106,Primal Leadership: Realizing the Power of Emotional Intelligence,Daniel Goleman,"Goleman, Daniel","Annie McKee, Richard E. Boyatzis","=""157851486X""","=""9781578514861""",0,3.93,Harvard Business Review Press,Hardcover,352,2002,2002,,2023/06/04,to-read,to-read (#57),to-read,,,,0,0
17349126,Focus: The Hidden Driver of Excellence,Daniel Goleman,"Goleman, Daniel",,"=""0062114867""","=""9780062114860""",0,3.56,Harper,Hardcover,320,2013,2013,,2023/06/04,to-read,to-read (#56),to-read,,,,0,0
